portid,year,month,portname,mean_n_total,median_n_total,std_n_total,cv_n_total,mean_n_tanker,tanker_share,mean_capacity,mean_capacity_tanker,tanker_capacity_share,mean_n_container,mean_n_dry_bulk,mean_n_general_cargo,mean_n_cargo,disruption_frequency_total,disruption_frequency_tanker,strong_disruption_frequency_total,strong_disruption_frequency_tanker,max_drop_n_total,max_drop_n_tanker,observed_days,estimated_7d_lost_vessels,estimated_14d_lost_vessels,estimated_30d_lost_vessels,estimated_7d_lost_tankers,estimated_14d_lost_tankers,estimated_30d_lost_tankers,estimated_7d_lost_capacity,estimated_14d_lost_capacity,estimated_30d_lost_capacity,estimated_7d_lost_tanker_capacity,estimated_14d_lost_tanker_capacity,estimated_30d_lost_tanker_capacity,criticality_score,criticality_class
chokepoint1,2019,12,Suez Canal,54.29032258064516,54.0,6.299172159297848,0.11602753234594967,17.70967741935484,0.32620320855614976,2424834.64516129,816093.6129032258,0.33655639758023276,16.35483870967742,12.67741935483871,5.064516129032258,36.58064516129032,0.06451612903225806,0.0,0.0,0.0,0.2892768079800499,0.3666026871401152,31,380.0322580645161,760.0645161290322,1628.7096774193549,123.96774193548387,247.93548387096774,531.2903225806452,16973842.51612903,33947685.03225806,72745039.3548387,5712655.29032258,11425310.58064516,24482808.387096774,24.138,2
chokepoint1,2020,1,Suez Canal,53.354838709677416,53.0,7.323698460462784,0.1372639977474887,16.64516129032258,0.31197097944377267,2498367.709677419,776283.3870967742,0.31071622647452696,16.93548387096774,12.548387096774194,5.032258064516129,36.70967741935484,0.0,0.03225806451612903,0.0,0.0,0.23602484472049687,0.5357833655705997,31,373.4838709677419,746.9677419354838,1600.6451612903224,116.51612903225806,233.03225806451613,499.3548387096774,17488573.967741933,34977147.935483865,74951031.29032257,5433983.70967742,10867967.41935484,23288501.612903226,21.045,2
chokepoint1,2020,2,Suez Canal,53.241379310344826,52.0,6.299972632671811,0.11832850152039025,16.379310344827587,0.30764248704663216,2533162.0344827585,852826.0689655172,0.33666463390671103,16.551724137931036,13.931034482758621,4.275862068965517,36.86206896551724,0.0,0.0,0.0,0.0,0.1646039603960396,0.5615866388308977,29,372.6896551724138,745.3793103448276,1597.2413793103447,114.65517241379311,229.31034482758622,491.3793103448276,17732134.24137931,35464268.48275862,75994861.03448275,5969782.482758621,11939564.965517242,25584782.068965517,21.459,2
chokepoint1,2020,3,Suez Canal,53.483870967741936,53.0,7.706581463234031,0.14409169201462904,15.709677419354838,0.2937273823884198,2478950.3225806453,766922.6129032258,0.30937393376436906,14.870967741935484,15.161290322580646,5.483870967741935,37.774193548387096,0.03225806451612903,0.0,0.0,0.0,0.3164556962025316,0.5051546391752577,31,374.38709677419354,748.7741935483871,1604.516129032258,109.96774193548387,219.93548387096774,471.2903225806451,17352652.258064516,34705304.51612903,74368509.67741936,5368458.29032258,10736916.58064516,23007678.387096774,22.067,2
chokepoint1,2020,4,Suez Canal,57.333333333333336,57.0,6.914918072835207,0.12060903615410244,20.166666666666668,0.35174418604651164,2675576.0,979884.4,0.3662330653287367,14.033333333333333,15.1,6.033333333333333,37.166666666666664,0.0,0.0,0.0,0.0,0.23121723937099595,0.2,30,401.33333333333337,802.6666666666667,1720.0,141.16666666666669,282.33333333333337,605.0,18729032.0,37458064.0,80267280.0,6859190.8,13718381.6,29396532.0,23.598,2
chokepoint1,2020,5,Suez Canal,52.064516129032256,52.0,8.433802953476238,0.16198754123777162,19.387096774193548,0.37236679058240396,2494418.9032258065,935492.7419354839,0.3750343379476862,13.580645161290322,12.0,5.67741935483871,32.67741935483871,0.0,0.06451612903225806,0.0,0.0,0.2907348242811501,0.5566502463054187,31,364.4516129032258,728.9032258064516,1561.9354838709678,135.70967741935485,271.4193548387097,581.6129032258065,17460932.322580647,34921864.64516129,74832567.09677419,6548449.193548387,13096898.387096774,28064782.258064516,22.633,2
chokepoint1,2020,6,Suez Canal,46.2,47.0,6.042379070166502,0.1307874257611797,15.3,0.33116883116883117,2109085.1666666665,639676.0,0.3032954809553684,13.4,10.4,5.6,30.9,0.03333333333333333,0.0,0.0,0.0,0.34156378600823045,0.5428571428571428,30,323.40000000000003,646.8000000000001,1386.0,107.10000000000001,214.20000000000002,459.0,14763596.166666666,29527192.333333332,63272554.99999999,4477732.0,8955464.0,19190280.0,20.254,2
chokepoint1,2020,7,Suez Canal,46.70967741935484,46.0,6.481736127443516,0.13876645024222997,13.0,0.2783149171270718,2174045.580645161,532612.2903225806,0.24498671741947778,14.96774193548387,11.35483870967742,5.645161290322581,33.70967741935484,0.0,0.0,0.0,0.0,0.21052631578947373,0.36170212765957444,31,326.9677419354839,653.9354838709678,1401.2903225806451,91.0,182.0,390.0,15218319.064516129,30436638.129032258,65221367.41935483,3728286.0322580645,7456572.064516129,15978368.709677419,17.7,2
chokepoint1,2020,8,Suez Canal,50.41935483870968,50.0,6.8691299475668055,0.1362399413784843,13.129032258064516,0.26039667306461933,2298957.709677419,558393.2903225806,0.24288976172638346,16.193548387096776,14.161290322580646,5.0,37.29032258064516,0.0,0.0,0.0,0.0,0.26160337552742613,0.5967741935483871,31,352.93548387096774,705.8709677419355,1512.5806451612905,91.90322580645162,183.80645161290323,393.8709677419355,16092703.967741935,32185407.93548387,68968731.29032257,3908753.0322580645,7817506.064516129,16751798.709677419,18.293,2
chokepoint1,2020,9,Suez Canal,52.0,52.0,7.376570551648529,0.14185712599324093,13.066666666666666,0.2512820512820513,2367637.1,539115.1,0.2277017453392667,16.566666666666666,15.533333333333333,4.966666666666667,38.93333333333333,0.03333333333333333,0.0,0.0,0.0,0.37539432176656157,0.55,30,364.0,728.0,1560.0,91.46666666666667,182.93333333333334,392.0,16573459.700000001,33146919.400000002,71029113.0,3773805.6999999997,7547611.399999999,16173453.0,19.835,2
chokepoint1,2020,10,Suez Canal,53.12903225806452,54.0,6.004120448957648,0.1130101602414615,12.935483870967742,0.2434729811778992,2353159.0322580645,543672.8064516129,0.23103955108801577,17.032258064516128,15.612903225806452,5.032258064516129,40.193548387096776,0.03225806451612903,0.0,0.0,0.0,0.32475884244372993,0.4629156010230179,31,371.90322580645164,743.8064516129033,1593.8709677419356,90.54838709677419,181.09677419354838,388.06451612903226,16472113.225806452,32944226.451612905,70594770.96774194,3805709.6451612897,7611419.290322579,16310184.193548385,19.779,2
chokepoint1,2020,11,Suez Canal,54.166666666666664,53.0,6.757286403596484,0.1247499028356274,14.333333333333334,0.26461538461538464,2478535.433333333,627689.8666666667,0.253250309931014,16.833333333333332,14.766666666666667,5.733333333333333,39.833333333333336,0.03333333333333333,0.03333333333333333,0.0,0.0,0.30402930402930406,0.4418604651162791,30,379.16666666666663,758.3333333333333,1625.0,100.33333333333334,200.66666666666669,430.0,17349748.03333333,34699496.06666666,74356063.0,4393829.066666666,8787658.133333333,18830696.0,21.022,2
chokepoint1,2020,12,Suez Canal,51.61290322580645,52.0,5.541825327181402,0.10737286571413968,15.35483870967742,0.29750000000000004,2426440.8387096776,632866.0,0.26082070079917663,15.96774193548387,13.451612903225806,4.903225806451613,36.25806451612903,0.0,0.03225806451612903,0.0,0.0,0.2046855733662146,0.5333333333333333,31,361.2903225806451,722.5806451612902,1548.3870967741934,107.48387096774194,214.96774193548387,460.6451612903226,16985085.870967742,33970171.741935484,72793225.16129033,4430062.0,8860124.0,18985980.0,19.702,2
chokepoint1,2021,1,Suez Canal,52.03225806451613,51.0,6.554814367916872,0.1259759735929467,16.032258064516128,0.30812151270923743,2324197.6129032257,662493.3548387097,0.2850417499616864,16.258064516129032,12.67741935483871,4.774193548387097,36.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.22330097087378642,0.5020746887966805,31,364.2258064516129,728.4516129032259,1560.967741935484,112.2258064516129,224.4516129032258,480.96774193548384,16269383.29032258,32538766.58064516,69725928.38709678,4637453.483870968,9274906.967741936,19874800.64516129,21.175,2
chokepoint1,2021,2,Suez Canal,55.67857142857143,56.0,8.919614554986321,0.1601983371004599,16.25,0.2918537524053881,2558846.6428571427,722893.1428571428,0.28250741203074947,16.607142857142858,14.857142857142858,5.607142857142857,39.42857142857143,0.03571428571428571,0.0,0.0,0.0,0.27480916030534347,0.425531914893617,28,389.75,779.5,1670.357142857143,113.75,227.5,487.5,17911926.5,35823853.0,76765399.28571428,5060252.0,10120504.0,21686794.285714284,22.404,2
chokepoint1,2021,3,Suez Canal,47.774193548387096,54.0,19.02578894977263,0.398244063094498,13.96774193548387,0.2923700202565834,2178546.290322581,629409.0967741936,0.28891242732372513,14.96774193548387,11.290322580645162,5.0,33.806451612903224,0.16129032258064516,0.12903225806451613,0.06451612903225806,0.0,0.9619530754597336,1.0,31,334.4193548387097,668.8387096774194,1433.225806451613,97.77419354838709,195.54838709677418,419.0322580645161,15249824.032258065,30499648.06451613,65356388.70967743,4405863.677419355,8811727.35483871,18882272.903225806,25.455,2
chokepoint1,2021,4,Suez Canal,60.233333333333334,55.0,14.282092315887763,0.23711276672752235,16.466666666666665,0.27338129496402874,2941484.7666666666,756991.4333333333,0.2573501117230558,17.866666666666667,16.133333333333333,7.1,43.766666666666666,0.0,0.0,0.0,0.0,0.35960591133004927,0.4695481335952848,30,421.6333333333333,843.2666666666667,1807.0,115.26666666666665,230.5333333333333,493.99999999999994,20590393.366666667,41180786.733333334,88244543.0,5298940.033333333,10597880.066666666,22709743.0,22.271,2
