model_key,model_name,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
log_reg,Régression logistique,0.9724025974025974,0.9724025974025974,0.972395893429157,0.9723958934291569,0.9725041356492969,0.9724025974025974
random_forest,Random Forest,0.961038961038961,0.9610389610389611,0.9610677446976065,0.9610677446976065,0.9612775927981255,0.9610389610389611
gradient_boosting,Gradient Boosting,0.9691558441558441,0.9691558441558441,0.969089689207035,0.9690896892070349,0.9691969778247491,0.9691558441558441
